장기요양기관코드,기관유형코드,,,
12820000906,A03,,,
12820000909,A04,,,
12820000910,A04,,,
12820000919,A03,,,
12820000925,A03,,,
12820000926,A03,,,
12820000927,A04,,,
12820000929,A04,,,
12820000937,A04,,,
12820000938,A03,,,
12820000952,A03,,,
12820000959,A03,,,
12820000965,A03,,,
12820000969,A03,,,
12820000970,A03,,,
12820000971,A03,,,
12820000975,A03,,,
12823700015,A03,,,
12823700018,A03,,,
12823700033,A03,,,
12823700040,A03,,,
12823700070,A03,,,
12823700129,A03,,,
12823700216,A04,,,
12823700228,A03,,,
12823700241,A03,,,
12823700273,A03,,,
12823700279,A03,,,
12823700283,A03,,,
12823700297,A03,,,
12823700318,A03,,,
12823700336,A03,,,
12823700337,A03,,,
12823700341,A04,,,
12823700347,A03,,,
12823700370,A03,,,
12823700379,A03,,,
12823700446,A03,,,
12823700483,A03,,,
12823700502,A03,,,
12823700520,A03,,,
12823700526,A03,,,
12823700532,A03,,,
12823700532,G31,,,
12823700532,G32,,,
12823700534,A03,,,
12823700536,A03,,,
12823700545,A03,,,
12823700546,A03,,,
12823700548,A03,,,
12823700550,A04,,,
12823700556,A03,,,
12823700558,A03,,,
12823700578,A03,,,
12823700627,A03,,,
12823700640,A04,,,
12823700641,A03,,,
12823700642,A03,,,
12823700643,A03,,,
12823700649,A04,,,
12823700654,A03,,,
12823700665,A04,,,
12823700668,A04,,,
12823700669,A04,,,
12823700674,A03,,,
12823700675,A03,,,
12823700684,A03,,,
12823700684,G31,,,
12823700690,A03,,,
12823700691,A03,,,
12823700692,A03,,,
12823700694,A03,,,
12823700695,A03,,,
12823700697,A03,,,
12823700703,A03,,,
12823700704,A03,,,
12823700705,A03,,,
12823700710,A03,,,
12823700722,A03,,,
12823700726,A03,,,
12823700732,A04,,,
12823700747,A03,,,
12823700748,A03,,,
12823700753,A03,,,
12823700767,A03,,,
12824500003,A03,,,
12824500109,A03,,,
12824500141,A03,,,
12824500153,A03,,,
12824500181,A03,,,
12824500200,A03,,,
12824500202,A04,,,
12824500203,A04,,,
12824500214,A03,,,
12824500221,A03,,,
12824500231,A03,,,
12824500238,A03,,,
12824500264,A03,,,
12824500296,A03,,,
12824500303,A03,,,
12824500312,A03,,,
12824500312,G31,,,
12824500314,A04,,,
12824500339,A03,,,
12824500342,A03,,,
12824500349,A03,,,
12824500359,A03,,,
12824500369,A03,,,
